sub001_og_fw_lap6.txt
Scaling.Coef.Hip	1.300000	Scaling.Coef.Knee	1.000000	Start.Time	0.000000	End.Time	21.490000
ave.x	ave.y	ave.z	ave.angle.1	ave.angle.2	ave.angle.3	ave.angle.4	target.x	target.y	target.z	target.angle.1	target.angle.2	target.angle.3	target.angle.4
0.098	-0.822	-0.032	0.279	0.040	0.000	-0.313	0.100	-0.821	0.000
0.095	-0.822	-0.032	0.276	0.040	0.000	-0.313	0.098	-0.822	0.000
0.091	-0.823	-0.033	0.270	0.040	0.000	-0.312	0.095	-0.822	0.000
0.089	-0.823	-0.033	0.267	0.041	0.000	-0.311	0.091	-0.823	0.000
0.088	-0.823	-0.033	0.266	0.041	0.000	-0.311	0.089	-0.823	0.000
0.086	-0.823	-0.033	0.262	0.041	0.000	-0.310	0.088	-0.823	0.000
0.081	-0.824	-0.034	0.256	0.042	0.000	-0.308	0.086	-0.823	0.000
0.076	-0.825	-0.035	0.248	0.043	0.000	-0.305	0.081	-0.824	0.000
0.076	-0.825	-0.035	0.248	0.043	0.000	-0.304	0.076	-0.825	0.000
0.073	-0.825	-0.035	0.244	0.043	0.000	-0.303	0.076	-0.825	0.000
0.072	-0.825	-0.035	0.243	0.043	0.000	-0.302	0.073	-0.825	0.000
0.067	-0.826	-0.037	0.234	0.045	0.000	-0.299	0.072	-0.825	0.000
0.065	-0.826	-0.038	0.230	0.046	0.000	-0.297	0.067	-0.826	0.000
0.063	-0.826	-0.037	0.227	0.046	0.000	-0.295	0.065	-0.826	0.000
0.060	-0.827	-0.038	0.223	0.046	0.000	-0.293	0.063	-0.826	0.000
0.058	-0.827	-0.039	0.220	0.047	0.000	-0.291	0.060	-0.827	0.000
0.053	-0.827	-0.040	0.211	0.048	0.000	-0.286	0.058	-0.827	0.000
0.052	-0.828	-0.040	0.209	0.049	0.000	-0.285	0.053	-0.827	0.000
0.050	-0.828	-0.040	0.205	0.048	0.000	-0.283	0.052	-0.828	0.000
0.048	-0.828	-0.040	0.202	0.049	0.000	-0.280	0.050	-0.828	0.000
0.045	-0.829	-0.041	0.196	0.050	0.000	-0.277	0.048	-0.828	0.000
0.041	-0.829	-0.042	0.189	0.051	0.000	-0.273	0.045	-0.829	0.000
0.041	-0.829	-0.042	0.189	0.050	0.000	-0.272	0.041	-0.829	0.000
0.038	-0.829	-0.041	0.183	0.050	0.000	-0.268	0.041	-0.829	0.000
0.036	-0.830	-0.042	0.181	0.051	0.000	-0.267	0.038	-0.829	0.000
0.031	-0.830	-0.042	0.172	0.051	0.000	-0.261	0.036	-0.830	0.000
0.029	-0.830	-0.043	0.167	0.052	0.000	-0.258	0.031	-0.830	0.000
0.027	-0.831	-0.043	0.164	0.052	0.000	-0.256	0.029	-0.830	0.000
0.025	-0.831	-0.042	0.161	0.051	0.000	-0.253	0.027	-0.831	0.000
0.024	-0.831	-0.042	0.158	0.051	0.000	-0.251	0.025	-0.831	0.000
0.019	-0.831	-0.043	0.148	0.052	0.000	-0.245	0.024	-0.831	0.000
0.017	-0.832	-0.043	0.146	0.052	0.000	-0.243	0.019	-0.831	0.000
0.016	-0.832	-0.042	0.143	0.051	0.000	-0.242	0.017	-0.832	0.000
0.014	-0.832	-0.041	0.140	0.050	0.000	-0.239	0.016	-0.832	0.000
0.011	-0.832	-0.042	0.134	0.050	0.000	-0.236	0.014	-0.832	0.000
0.007	-0.832	-0.042	0.128	0.050	0.000	-0.232	0.011	-0.832	0.000
0.007	-0.832	-0.041	0.126	0.050	0.000	-0.231	0.007	-0.832	0.000
0.004	-0.833	-0.040	0.122	0.048	0.000	-0.228	0.007	-0.832	0.000
0.003	-0.833	-0.040	0.120	0.048	0.000	-0.227	0.004	-0.833	0.000
-0.001	-0.833	-0.040	0.112	0.048	0.000	-0.222	0.003	-0.833	0.000
-0.004	-0.833	-0.039	0.108	0.047	0.000	-0.220	-0.001	-0.833	0.000
-0.005	-0.833	-0.038	0.106	0.046	0.000	-0.218	-0.004	-0.833	0.000
-0.007	-0.833	-0.037	0.102	0.045	0.000	-0.216	-0.005	-0.833	0.000
-0.009	-0.833	-0.037	0.098	0.044	0.000	-0.214	-0.007	-0.833	0.000
-0.013	-0.834	-0.036	0.093	0.044	0.000	-0.211	-0.009	-0.833	0.000
-0.014	-0.834	-0.036	0.091	0.043	0.000	-0.210	-0.013	-0.834	0.000
-0.016	-0.834	-0.034	0.088	0.041	0.000	-0.208	-0.014	-0.834	0.000
-0.017	-0.834	-0.034	0.085	0.041	0.000	-0.207	-0.016	-0.834	0.000
-0.020	-0.834	-0.033	0.082	0.040	0.000	-0.206	-0.017	-0.834	0.000
-0.022	-0.834	-0.032	0.078	0.039	0.000	-0.204	-0.020	-0.834	0.000
-0.023	-0.834	-0.032	0.076	0.038	0.000	-0.203	-0.022	-0.834	0.000
-0.026	-0.834	-0.030	0.071	0.036	0.000	-0.201	-0.023	-0.834	0.000
-0.028	-0.834	-0.029	0.068	0.035	0.000	-0.199	-0.026	-0.834	0.000
-0.031	-0.834	-0.028	0.065	0.034	0.000	-0.198	-0.028	-0.834	0.000
-0.032	-0.834	-0.028	0.062	0.033	0.000	-0.197	-0.031	-0.834	0.000
-0.035	-0.834	-0.027	0.059	0.032	0.000	-0.196	-0.032	-0.834	0.000
